회사명,공고제목,직무분야,근무지,경력/고용형태,학력,마감일,등록일,공고URL
(주)스피링크,[TEXTNET] LLM 기반 풀스택 개발자 채용,"딥러닝, 챗봇, 클라우드, DevOps, NLP(자연어처리)",서울전체 외,경력 3년↑ · 정규직,대학교(4년)↑,~02.19(수),10시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49804918
(주)더코업,주식회사 더코업 BE/FE/Full-Stack 개발자 정규직 경력사원 채용,"웹개발, DBMS, Java, React, Spring",경기 광명시 외,경력 2년↑ · 정규직,학력무관,상시채용,10시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49804913
(주)바인컨설팅,코스닥 상장 로봇기업 로봇 설계 및 개발자(선임/책임급),"FPGA, 어셈블리, 로봇엔지니어, 로봇설계, 제품설계",서울 강남구,3 ~ 10년 · 정규직,대학교(4년)↑,D-5,10시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49804909
(주)웨스트월드,[웨스트월드] 기술연구소 채용 공고,"기술지원, 인프라, Python, Unreal, AI(인공지능)",경기 고양시 일산서구,경력무관 · 정규직,학력무관,~03.21(금),10시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49804904
(주)트루에이치알,[유망 로봇기업] 로봇 자동화 솔루션 소프트웨어 개발,"C++, Python, 로봇엔지니어, 프론트엔드, 솔루션",경기 안양시 동안구,경력 3년↑ · 정규직,대학교(4년)↑,채용시,10시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49804903
(주)에이플러스소프트,QRadar 엔지니어(SIEM/SOAR) 경력자 채용 공고,"보안컨설팅, 유지보수, 정보보안, 보안관제, 기술지원",서울 영등포구,경력 3년↑ · 정규직,"대학(2,3년)↑",채용시,10시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49804878
(주)에이치알비즈코리아,자동차 전장부문 제어 S/W개발 경력,"임베디드, RTOS, S/W, R&D, C#",경기 수원시 영통구,5 ~ 20년 · 정규직,대학교(4년)↑,~02.19(수),10시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49804857
(주)커리어라이즈,[초우량 반도체 기업] SSD Firmware Engineer (경력),"임베디드, 펌웨어, C++, Git, Jenkins",서울 강남구,경력 3년↑ · 정규직,대학교(4년)↑,채용시,10시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49804855
(주)커리어라이즈,[초우량 반도체 기업] PCle Engineer,"QA/테스터, 임베디드, 펌웨어, 반도체, 개발PM",서울 강남구,경력 3년↑ · 정규직,대학교(4년)↑,채용시,10시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49804834
(주)바인컨설팅,유명의료 진단장비 기업(분야 1위) F/W의료기기Embedded SW개발,"기술지원, 네트워크, 솔루션, 정보통신, 펌웨어",서울 강남구,신입 · 경력 · 정규직,"대학(2,3년)↑",D-5,10시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49804825
(주)씨앤에이코리아,[유망 스타트업] 임베디드 회로설계 및 PCB 설계 엔지니어,"임베디드, 회로설계, PCB, Pads, CAD",서울 금천구,7 ~ 12년 · 정규직,대학교(4년)↑,~01.30(목),10시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49804821
(주)바인컨설팅,코스닥 상장 로봇 기업 생산기술팀 설계(경력),"로봇엔지니어, 로봇설계, 설계엔지니어, 공정설계, 제품설계",서울 강남구,경력 5년↓ · 정규직,대학교(4년)↑,D-5,10시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49804810
(주)바인컨설팅,맞춤형 보형물 전문 기업 SW(경력),"딥러닝, 머신러닝, 알고리즘, 컴퓨터비전, 클라우드",서울 강남구,3 ~ 11년 · 정규직,대학교(4년)↑,D-5,10시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49804798
(주)바인컨설팅,유명의료 진단장비 기업(분야 1위) 의료기기 HW 개발,"네트워크, 정보통신, H/W, 방사선사, 영상의학과",서울 강남구,신입 · 경력 · 정규직,"대학(2,3년)↑",D-5,10시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49804771
(주)바인컨설팅,코스닥 상장 로봇기업 SI/SW개발(신입/대리),"기술지원, C++, C언어, Python, 로봇엔지니어",서울 강남구,신입 · 경력 · 정규직,대학교(4년)↑,D-5,10시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49804765
(주)데이터로드,금융시장의 미래를 설계하는 데이터로드  신입 경력 개발자 모집,"앱개발, 웹개발, DBMS, RDBMS, S/W",서울 영등포구,신입 · 경력 · 정규직,대학교(4년)↑,~02.04(화),10시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49804757
(주)블루로고,"백엔드/서버개발, 프론트엔드 정규직 채용(경력)","백엔드/서버개발, 프론트엔드, Node.js, React, ReactJS",서울 강남구,경력 2년↑ · 정규직,학력무관,~03.21(금),10시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49804744
NTT KOREA,[NTT] TS implementation engineer L1 채용 (신입),"기술지원, 유지보수, 네트워크",서울 영등포구,경력무관 · 정규직,"대학(2,3년)↑",~02.19(수),10시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49804736
트리노드 주식회사,[부산/경력 무관] ID팀 - 데이터분석가,"데이터분석가, 데이터시각화, 빅데이터, 데이터분석, Python",서울전체 외,경력무관 · 정규직,학력무관,~03.21(금),10시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49804727
워크맨그룹 주식회사,중견패션기업 데이터팀장 경력 채용,"데이터엔지니어, 데이터마이닝, 데이터시각화, 텍스트마이닝, 데이터분석",서울 강남구,12 ~ 19년 · 정규직,대학교(4년)↑,~02.19(수),10시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49804693
워크맨그룹 주식회사,[외국계기업] 광학측정 제어 S/W 개발,"S/W, C#, C++, C언어",경기 성남시 중원구,4 ~ 10년 · 정규직,대학교(4년)↑,~02.19(수),10시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49804679
(주)조인스에이치알코리아,IT 기획 (대리-과장급),"IT컨설팅, DevOps, ISMS",서울 서초구,5 ~ 10년 · 정규직,대학교(4년)↑,D-5,10시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49804641
